"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"1","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","1","mean.TOF",247.636752136752
"2","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","10","mean.TOF",245.121518987342
"3","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","11","mean.TOF",243.054187192118
"4","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","2","mean.TOF",235.56334841629
"5","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","3","mean.TOF",244.421333333333
"6","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","4","mean.TOF",237.260162601626
"7","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","5","mean.TOF",240.93956043956
"8","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","6","mean.TOF",246.443298969072
"9","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","7","mean.TOF",248.258064516129
"10","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","8","mean.TOF",255.768674698795
"11","20190318","VC_NIL",1,"a",1,"DMSO","None","N2","A","9","mean.TOF",246.524193548387
"12","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","1","mean.TOF",240.482142857143
"13","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","10","mean.TOF",229.615879828326
"14","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","11","mean.TOF",222.408791208791
"15","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","2","mean.TOF",224.133027522936
"16","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","3","mean.TOF",220.181666666667
"17","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","4","mean.TOF",241.127049180328
"18","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","5","mean.TOF",226.586558044807
"19","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","6","mean.TOF",218.133980582524
"20","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","7","mean.TOF",235.471131639723
"21","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","8","mean.TOF",209.479166666667
"22","20190318","VC_NIL",1,"a",1,"DMSO","None","CB4856","B","9","mean.TOF",212.861157024793
"23","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","1","mean.TOF",245.365671641791
"24","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","10","mean.TOF",248.568075117371
"25","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","11","mean.TOF",237.940559440559
"26","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","2","mean.TOF",238.036170212766
"27","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","3","mean.TOF",240.983783783784
"28","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","4","mean.TOF",242.608695652174
"29","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","5","mean.TOF",252.385542168675
"30","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","6","mean.TOF",242.829545454545
"31","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","7","mean.TOF",242.64263322884
"32","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","8","mean.TOF",250.564705882353
"33","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA629","E","9","mean.TOF",250.234146341463
"34","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","1","mean.TOF",256.455958549223
"35","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","10","mean.TOF",264.429611650485
"36","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","11","mean.TOF",265.724770642202
"37","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","2","mean.TOF",252.26368159204
"38","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","3","mean.TOF",264.337962962963
"39","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","4","mean.TOF",261.009950248756
"40","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","5","mean.TOF",251.403892944039
"41","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","6","mean.TOF",254.651111111111
"42","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","7","mean.TOF",264.686327077748
"43","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","8","mean.TOF",252.839243498818
"44","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA632","F","9","mean.TOF",263.170149253731
"45","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","1","mean.TOF",241.620071684588
"46","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","10","mean.TOF",253.169977924945
"47","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","11","mean.TOF",250.599173553719
"48","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","2","mean.TOF",261.891640866873
"49","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","3","mean.TOF",257.238434163701
"50","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","4","mean.TOF",257.953596287703
"51","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","5","mean.TOF",251.149152542373
"52","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","6","mean.TOF",276.390163934426
"53","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","7","mean.TOF",255.917491749175
"54","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","8","mean.TOF",264.69696969697
"55","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA634","G","9","mean.TOF",251.107296137339
"56","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","1","mean.TOF",252.209595959596
"57","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","10","mean.TOF",312.224586288416
"58","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","11","mean.TOF",302.020202020202
"59","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","2","mean.TOF",253.477647058824
"60","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","3","mean.TOF",248.348130841122
"61","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","4","mean.TOF",242.929384965831
"62","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","5","mean.TOF",263.237668161435
"63","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","6","mean.TOF",315.176334106729
"64","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","7","mean.TOF",304.400911161731
"65","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","8","mean.TOF",317.168639053254
"66","20190318","VC_NIL",1,"a",1,"DMSO","None","ECA636","H","9","mean.TOF",306.650190114068
"67","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","1","mean.TOF",165.816326530612
"68","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","10","mean.TOF",163.12
"69","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","11","mean.TOF",142.872549019608
"70","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","2","mean.TOF",150.764705882353
"71","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","3","mean.TOF",171.091836734694
"72","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","4","mean.TOF",157.492753623188
"73","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","5","mean.TOF",168.963855421687
"74","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","6","mean.TOF",144.422222222222
"75","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","7","mean.TOF",175.816666666667
"76","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","8","mean.TOF",164.226666666667
"77","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","N2","A","9","mean.TOF",143.086538461538
"78","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","CB4856","B","10","mean.TOF",160.867768595041
"79","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","CB4856","B","3","mean.TOF",160.925925925926
"80","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","CB4856","B","5","mean.TOF",169.048780487805
"81","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","CB4856","B","6","mean.TOF",187.620689655172
"82","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","CB4856","B","7","mean.TOF",174.417910447761
"83","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","CB4856","B","8","mean.TOF",189.622340425532
"84","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","1","mean.TOF",185.845238095238
"85","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","11","mean.TOF",153.635294117647
"86","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","2","mean.TOF",164.949494949495
"87","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","3","mean.TOF",154.147540983607
"88","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","4","mean.TOF",160.586206896552
"89","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","5","mean.TOF",170.484375
"90","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","6","mean.TOF",165.3125
"91","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","7","mean.TOF",148.92
"92","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","8","mean.TOF",141.397260273973
"93","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA629","E","9","mean.TOF",161.84375
"94","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","1","mean.TOF",137.967741935484
"95","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","10","mean.TOF",180.5
"96","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","11","mean.TOF",161.054054054054
"97","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","2","mean.TOF",164.988505747126
"98","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","3","mean.TOF",159.4375
"99","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","5","mean.TOF",176.333333333333
"100","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","6","mean.TOF",172.914285714286
"101","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","7","mean.TOF",190.142857142857
"102","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","8","mean.TOF",175.117647058824
"103","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA632","F","9","mean.TOF",162.597222222222
"104","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA634","G","1","mean.TOF",167.012345679012
"105","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA634","G","10","mean.TOF",168.364705882353
"106","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA634","G","11","mean.TOF",147.75
"107","20190318","VC_NIL",1,"a",2,"abamectin","DMSO","ECA634","G","2","mean.TOF",159.540540540541
