"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"1","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3518","A","1","mean.TOF",192.806451612903
"2","20171009","abamectinNILs",1,"a",1,"DMSO","None","CB4856","A","12","mean.TOF",256.230434782609
"3","20171009","abamectinNILs",1,"a",1,"DMSO","None","N2","A","2","mean.TOF",236.840670859539
"4","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3518","B","1","mean.TOF",204.667896678967
"5","20171009","abamectinNILs",1,"a",1,"DMSO","None","CB4856","B","12","mean.TOF",248.619607843137
"6","20171009","abamectinNILs",1,"a",1,"DMSO","None","N2","B","2","mean.TOF",233.782369146006
"7","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3448","B","6","mean.TOF",209.434466019417
"8","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3518","C","1","mean.TOF",190.558685446009
"9","20171009","abamectinNILs",1,"a",1,"DMSO","None","CB4856","C","12","mean.TOF",233.399527186761
"10","20171009","abamectinNILs",1,"a",1,"DMSO","None","N2","C","2","mean.TOF",233.981438515081
"11","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3448","C","6","mean.TOF",224.934640522876
"12","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3518","D","1","mean.TOF",208.247093023256
"13","20171009","abamectinNILs",1,"a",1,"DMSO","None","CB4856","D","12","mean.TOF",255.736842105263
"14","20171009","abamectinNILs",1,"a",1,"DMSO","None","N2","D","2","mean.TOF",271.287974683544
"15","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3448","D","6","mean.TOF",230.102678571429
"16","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3518","E","1","mean.TOF",187.796511627907
"17","20171009","abamectinNILs",1,"a",1,"DMSO","None","CB4856","E","12","mean.TOF",260.112627986348
"18","20171009","abamectinNILs",1,"a",1,"DMSO","None","N2","E","2","mean.TOF",252.211302211302
"19","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3448","E","6","mean.TOF",223.66852367688
"20","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3518","F","1","mean.TOF",192.546762589928
"21","20171009","abamectinNILs",1,"a",1,"DMSO","None","CB4856","F","12","mean.TOF",257.521604938272
"22","20171009","abamectinNILs",1,"a",1,"DMSO","None","N2","F","2","mean.TOF",235.9875
"23","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3448","F","6","mean.TOF",236.515625
"24","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3518","G","1","mean.TOF",204.716937354988
"25","20171009","abamectinNILs",1,"a",1,"DMSO","None","CB4856","G","12","mean.TOF",267.600619195046
"26","20171009","abamectinNILs",1,"a",1,"DMSO","None","N2","G","2","mean.TOF",241.965317919075
"27","20171009","abamectinNILs",1,"a",1,"DMSO","None","FX3448","G","6","mean.TOF",245.4
"28","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3518","A","1","mean.TOF",199.517060367454
"29","20171009","abamectinNILs",1,"a",3,"DMSO","None","CB4856","A","12","mean.TOF",228.928909952607
"30","20171009","abamectinNILs",1,"a",3,"DMSO","None","N2","A","2","mean.TOF",232.136645962733
"31","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3448","A","6","mean.TOF",204.111111111111
"32","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3518","B","1","mean.TOF",211.957865168539
"33","20171009","abamectinNILs",1,"a",3,"DMSO","None","CB4856","B","12","mean.TOF",273.41935483871
"34","20171009","abamectinNILs",1,"a",3,"DMSO","None","N2","B","2","mean.TOF",255.603723404255
"35","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3448","B","6","mean.TOF",197.680473372781
"36","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3518","C","1","mean.TOF",192
"37","20171009","abamectinNILs",1,"a",3,"DMSO","None","CB4856","C","12","mean.TOF",259.424444444444
"38","20171009","abamectinNILs",1,"a",3,"DMSO","None","N2","C","2","mean.TOF",247.537634408602
"39","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3448","C","6","mean.TOF",221.416666666667
"40","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3518","D","1","mean.TOF",211.876146788991
"41","20171009","abamectinNILs",1,"a",3,"DMSO","None","CB4856","D","12","mean.TOF",259.413793103448
"42","20171009","abamectinNILs",1,"a",3,"DMSO","None","N2","D","2","mean.TOF",242.740425531915
"43","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3448","D","6","mean.TOF",209.058419243986
"44","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3518","E","1","mean.TOF",208.207831325301
"45","20171009","abamectinNILs",1,"a",3,"DMSO","None","CB4856","E","12","mean.TOF",271.526785714286
"46","20171009","abamectinNILs",1,"a",3,"DMSO","None","N2","E","2","mean.TOF",221.601895734597
"47","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3448","E","6","mean.TOF",234.439628482972
"48","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3518","F","1","mean.TOF",210.572368421053
"49","20171009","abamectinNILs",1,"a",3,"DMSO","None","CB4856","F","12","mean.TOF",255.312
"50","20171009","abamectinNILs",1,"a",3,"DMSO","None","N2","F","2","mean.TOF",239.267942583732
"51","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3518","G","1","mean.TOF",233.032679738562
"52","20171009","abamectinNILs",1,"a",3,"DMSO","None","CB4856","G","12","mean.TOF",279.142857142857
"53","20171009","abamectinNILs",1,"a",3,"DMSO","None","N2","G","2","mean.TOF",244.237536656892
"54","20171009","abamectinNILs",1,"a",3,"DMSO","None","FX3448","G","6","mean.TOF",217.054545454545
