"","strain","condition","trait","phenotype"
"1","AB1","abamectin","mean.EXT",-69.7857410620261
"2","BRC20067","abamectin","mean.EXT",-29.8908677392715
"3","BRC20263","abamectin","mean.EXT",86.8846989277377
"4","CB4852","abamectin","mean.EXT",-24.3367589789177
"5","CB4854","abamectin","mean.EXT",35.3375887234041
"6","CB4856","abamectin","mean.EXT",70.1315206477996
"7","CB4932","abamectin","mean.EXT",187.624126784814
"8","CX11262","abamectin","mean.EXT",-12.9183619857213
"9","CX11264","abamectin","mean.EXT",49.2483214555801
"10","CX11271","abamectin","mean.EXT",18.0480103472023
"11","CX11276","abamectin","mean.EXT",40.3537289760571
"12","CX11285","abamectin","mean.EXT",-60.0169622503832
"13","CX11292","abamectin","mean.EXT",193.810918936013
"14","CX11307","abamectin","mean.EXT",2.94602715828101
"15","CX11314","abamectin","mean.EXT",-52.5900657945682
"16","CX11315","abamectin","mean.EXT",127.969217094097
"17","DL200","abamectin","mean.EXT",89.8095892749067
"18","DL226","abamectin","mean.EXT",22.4620746675558
"19","DL238","abamectin","mean.EXT",148.322586419438
"20","ECA189","abamectin","mean.EXT",141.121477209729
"21","ECA246","abamectin","mean.EXT",NA
"22","ECA248","abamectin","mean.EXT",-42.14597605793
"23","ECA250","abamectin","mean.EXT",57.5635303639425
"24","ECA251","abamectin","mean.EXT",-11.125215491267
"25","ECA252","abamectin","mean.EXT",NA
"26","ECA259","abamectin","mean.EXT",NA
"27","ECA348","abamectin","mean.EXT",49.8638035325587
"28","ECA349","abamectin","mean.EXT",-95.3881147021388
"29","ECA36","abamectin","mean.EXT",165.088655981031
"30","ECA369","abamectin","mean.EXT",-65.1162835380107
"31","ECA372","abamectin","mean.EXT",-118.376408447741
"32","ECA396","abamectin","mean.EXT",-174.957178844208
"33","ED3005","abamectin","mean.EXT",-48.8430691974816
"34","ED3011","abamectin","mean.EXT",83.523622974873
"35","ED3012","abamectin","mean.EXT",NA
"36","ED3017","abamectin","mean.EXT",85.2023056236292
"37","ED3040","abamectin","mean.EXT",6.98569800583359
"38","ED3046","abamectin","mean.EXT",-110.830419436496
"39","ED3048","abamectin","mean.EXT",103.864059187554
"40","ED3049","abamectin","mean.EXT",-150.863333804362
"41","ED3052","abamectin","mean.EXT",-48.8243554839191
"42","ED3073","abamectin","mean.EXT",51.1400134053884
"43","ED3077","abamectin","mean.EXT",198.000941339736
"44","EG4347","abamectin","mean.EXT",68.9323689929644
"45","EG4349","abamectin","mean.EXT",152.425472597862
"46","EG4724","abamectin","mean.EXT",NA
"47","EG4725","abamectin","mean.EXT",102.520146460688
"48","EG4946","abamectin","mean.EXT",40.4457316383163
"49","GXW1","abamectin","mean.EXT",42.4204664747453
"50","JT11398","abamectin","mean.EXT",85.690042506525
"51","JU1088","abamectin","mean.EXT",-11.6980413699195
"52","JU1172","abamectin","mean.EXT",63.6104797112411
"53","JU1200","abamectin","mean.EXT",NA
"54","JU1212","abamectin","mean.EXT",178.349847915326
"55","JU1213","abamectin","mean.EXT",NA
"56","JU1242","abamectin","mean.EXT",-62.7093009319795
"57","JU1246","abamectin","mean.EXT",84.4577284086868
"58","JU1249","abamectin","mean.EXT",13.5793980536058
"59","JU1395","abamectin","mean.EXT",9.85056459408185
"60","JU1409","abamectin","mean.EXT",-46.3272115335798
"61","JU1440","abamectin","mean.EXT",-106.477652461729
"62","JU1491","abamectin","mean.EXT",124.448177829789
"63","JU1530","abamectin","mean.EXT",NA
"64","JU1543","abamectin","mean.EXT",51.456586426065
"65","JU1568","abamectin","mean.EXT",39.2540869164172
"66","JU1580","abamectin","mean.EXT",96.9965602859564
"67","JU1581","abamectin","mean.EXT",-69.6430591718132
"68","JU1586","abamectin","mean.EXT",NA
"69","JU1652","abamectin","mean.EXT",-33.737517321369
"70","JU1666","abamectin","mean.EXT",14.8007423384438
"71","JU1792","abamectin","mean.EXT",-12.9966205895315
"72","JU1793","abamectin","mean.EXT",87.5679086549969
"73","JU1808","abamectin","mean.EXT",-77.6133096750032
"74","JU1896","abamectin","mean.EXT",10.8054145798064
"75","JU1934","abamectin","mean.EXT",-51.8787762936687
"76","JU2001","abamectin","mean.EXT",NA
"77","JU2007","abamectin","mean.EXT",26.6414164953731
"78","JU2016","abamectin","mean.EXT",39.9444805283605
"79","JU2017","abamectin","mean.EXT",69.4632491167473
"80","JU2106","abamectin","mean.EXT",-199.251770984588
"81","JU2131","abamectin","mean.EXT",-48.4928914099519
"82","JU2141","abamectin","mean.EXT",3.23890851286238
"83","JU2234","abamectin","mean.EXT",-83.8429751220294
"84","JU2250","abamectin","mean.EXT",-114.151052533987
